tag,inital
407ED0PIC283BSP,33.2834
407ED0PIC283BTV,0.0
407ED0PIC283BCAS,0.0
407ED0PIC283BKC,15
407ED0PIC283BTI,0.02
407ED0PIC283BOPM,50
407ED0PIC283BOPL,0.0
407ED0PIC283BOPH,100.0
407ED0PIC015AOP,50
407ED0PIC015APV,33.4756
407ED0PIC015ASP,33.4756
407ED0PIC015ATV,0.0
407ED0PIC015ACAS,0.0
407ED0PIC015AKC,15
407ED0PIC015ATI,0.05
407ED0PIC015AOPM,50
407ED0PIC015AOPL,0.0
407ED0PIC015AOPH,100.0
407ED0PIC017OP,50
407ED0PIC017PV,33.4756
407ED0PIC017SP,33.2842
407ED0PIC017TV,0.0
407ED0PIC017CAS,0.0
407ED0PIC017KC,15
407ED0PIC017TI,0.05
407ED0PIC017OPM,50
407ED0PIC017OPL,0.0
407ED0PIC017OPH,100.0
407ED0EV012,2
407ED0EV025,1
407ED0EV011,1
407ED0KV026A,2
407ED0KV026B,2
407ED0KV026C,2
0BV001,2
407ED0PI251,37.7332
407ED0PI005,37.305
407ED0TI041C,39.4709
407ED0TI041B,39.6295
407ED0TI041A,39.6295
407ED0PDI009C,0
407ED0PDI009B,1.8934
407ED0PDI009A,1.8934
407ED0TI040C,39.3973
407ED0TI040B,37.4751
407ED0TI040A,37.4751
407ED0TI116,47.4132
407ED0AI002C,0
407ED0AI002B,17.6129
407ED0AI002A,17.6128
407ED0PI248,37.444
407ED0PI002,37.444
407ED0FI031,0.0207889
407ED0PI216,26.3003
407ED0PDI282A,50.1443
407ES0PDI282B,50.1443
407ED0TI212,36.4495
407EDPDI306,0.384708
407ED0TI211,37.1741
407ED0BP020,2
407ED0BPZIC011,2
407ED0BPZIC012,2
403GL0BV011,2
407ED0PDI258,0.14417
403GL0FIC707BOP,13.0774
403GL0FIC707BPV,18.5767
403GL0FIC707BSP,18.5767
403GL0FIC707BTV,0.0
403GL0FIC707BCAS,1
403GL0FIC707BKC,2
403GL0FIC707BTI,1
403GL0FIC707BOPM,13.0774
403GL0FIC707BOPL,0.0
403GL0FIC707BOPH,100.0
403GL0FIC020OP,0
403GL0FIC020PV,5093.27
403GL0FIC020SP,3359.54
403GL0FIC020TV,0.0
403GL0FIC020CAS,1
403GL0FIC020KC,5
403GL0FIC020TI,1
403GL0FIC020OPM,-1
403GL0FIC020OPL,0.0
403GL0FIC020OPH,100.0
403GL0LIC016OP,44.4487
403GL0LIC016PV,68.7485
403GL0LIC016SP,68.7602
403GL0LIC016TV,0.0
403GL0LIC016CAS,0.0
403GL0LIC016KC,3
403GL0LIC016TI,999
403GL0LIC016OPM,44.4487
403GL0LIC016OPL,0.0
403GL0LIC016OPH,100.0
407ED0BP011,2
407ED0BP012,2
403ARS0LIC023OP,50
403ARS0LIC023PV,43.9021
403ARS0LIC023SP,43.9021
403ARS0LIC023TV,0.0
403ARS0LIC023CAS,0.0
403ARS0LIC023KC,2
403ARS0LIC023TI,999
403ARS0LIC023OPM,50
403ARS0LIC023OPL,0.0
403ARS0LIC023OPH,100.0
407ES-Tin,250.0
407ES-C1in,914.5
407ES-C2in,6.15938
407ES-C3in,0.304179
407ES-IC4in,0.0084588
407ES-NC4in,0.0084588
407ES-N2in,0.833194
407ES-H2Oin,22.7295
407ES-CO2in,0.0350195
407ES-H2Sin,0.122823
407ES-GPin,23.7
407ES-EPin,37.7
407ES-Pout,24.0
407ES-GTout,40.95
407ES-GNC1out,76482.7
407ES-GC2out,973.805
407ES-GC3out,70.67
407ES-GIC4out,5.69
